stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_name,location_type,stop_code
49.8486354044,,-97.2608144593,https://winnipegtransit.com/stops/60646,60646,Northbound Laxdal at Beiko,0,60646
49.8985100318,,-97.1069852191,https://winnipegtransit.com/stops/50160,50160,Southbound Archibald at La Verendrye,0,50160
49.8928638664,,-97.0523880352,https://winnipegtransit.com/stops/40180,40180,Westbound Rougeau at Rizzuto,0,40180
49.892716906,,-97.0527420475,https://winnipegtransit.com/stops/40181,40181,Eastbound Rougeau at Rizzuto,0,40181
49.8957880521,,-97.0540387366,https://winnipegtransit.com/stops/40182,40182,Westbound Regent at Peguis,0,40182
49.8956563909,,-97.0547681163,https://winnipegtransit.com/stops/40183,40183,Eastbound Regent at Peguis,0,40183
49.8930584767,,-97.0564738341,https://winnipegtransit.com/stops/40184,40184,Westbound Rougeau at Bachinsky,0,40184
49.8928931692,,-97.0562716173,https://winnipegtransit.com/stops/40185,40185,Eastbound Rougeau at Bachinsky,0,40185
49.8967886908,,-97.0595267032,https://winnipegtransit.com/stops/40186,40186,Westbound Regent at Kildonan Place Hub,0,40186
49.896270723,,-97.0581410735,https://winnipegtransit.com/stops/40187,40187,Eastbound Regent at Rougeau,0,40187
49.8952890503,,-97.0580690859,https://winnipegtransit.com/stops/40188,40188,Westbound Rougeau at Regent,0,40188
49.8755261693,,-97.2545594921,https://winnipegtransit.com/stops/20221,20221,Westbound Portage at Whytewold,0,20221
49.8803958017,,-97.1995667548,https://winnipegtransit.com/stops/10562,10562,Eastbound Portage at Tylehurst (Polo Park),0,10562
49.8808120464,,-97.1991475849,https://winnipegtransit.com/stops/10561,10561,Westbound Portage at Tylehurst (Polo Park),0,10561
49.8758167781,,-97.2511667713,https://winnipegtransit.com/stops/20220,20220,Westbound Portage at Strathmillan,0,20220
49.8770334481,,-97.2311907241,https://winnipegtransit.com/stops/20418,20418,Eastbound Portage at Overdale (Assiniboine Park),0,20418
49.8828484423,,-97.1866962235,https://winnipegtransit.com/stops/10566,10566,Eastbound Portage at Erin,0,10566
49.8822328443,,-97.1898931907,https://winnipegtransit.com/stops/10565,10565,Eastbound Portage at Craig,0,10565
